"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per year/Trips (number)"
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2018";1024
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2019";961
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2020";831
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2021";880
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2022";958
"Total";"Population 6 years or older";"Total";"Value";"Groningen (PV)";"2023";994
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2018";986
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2019";958
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2020";918
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2021";908
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2022";998
"Total";"Population 6 years or older";"Total";"Value";"Fryslân (PV)";"2023";995
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2018";1028
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2019";1027
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2020";880
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2021";952
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2022";982
"Total";"Population 6 years or older";"Total";"Value";"Drenthe (PV)";"2023";988
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2018";1049
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2019";1023
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2020";886
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2021";956
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2022";1045
"Total";"Population 6 years or older";"Total";"Value";"Overijssel (PV)";"2023";1054
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2018";980
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2019";930
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2020";820
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2021";853
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2022";911
"Total";"Population 6 years or older";"Total";"Value";"Flevoland (PV)";"2023";936
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2018";1044
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2019";1016
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2020";905
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2021";947
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2022";1046
"Total";"Population 6 years or older";"Total";"Value";"Gelderland (PV)";"2023";1036
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2018";1056
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2019";1026
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2020";888
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2021";937
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2022";1021
"Total";"Population 6 years or older";"Total";"Value";"Utrecht (PV)";"2023";1029
"Total";"Population 6 years or older";"Total";"Value";"Noord-Holland (PV)";"2018";1006
"Total";"Population 6 years or older";"Total";"Value";"Noord-Holland (PV)";"2019";962
"Total";"Population 6 years or older";"Total";"Value";"Noord-Holland (PV)";"2020";820
"Total";"Population 6 years or older";"Total";"Value";"Noord-Holland (PV)";"2021";892
"Total";"Population 6 years or older";"Total";"Value";"Noord-Holland (PV)";"2022";947
"Total";"Population 6 years or older";"Total";"Value";"Noord-Holland (PV)";"2023";954
"Total";"Population 6 years or older";"Total";"Value";"Zuid-Holland (PV)";"2018";989
"Total";"Population 6 years or older";"Total";"Value";"Zuid-Holland (PV)";"2019";970
"Total";"Population 6 years or older";"Total";"Value";"Zuid-Holland (PV)";"2020";814
"Total";"Population 6 years or older";"Total";"Value";"Zuid-Holland (PV)";"2021";880
"Total";"Population 6 years or older";"Total";"Value";"Zuid-Holland (PV)";"2022";940
"Total";"Population 6 years or older";"Total";"Value";"Zuid-Holland (PV)";"2023";945
"Total";"Population 6 years or older";"Total";"Value";"Zeeland (PV)";"2018";984
"Total";"Population 6 years or older";"Total";"Value";"Zeeland (PV)";"2019";991
"Total";"Population 6 years or older";"Total";"Value";"Zeeland (PV)";"2020";858
"Total";"Population 6 years or older";"Total";"Value";"Zeeland (PV)";"2021";950
"Total";"Population 6 years or older";"Total";"Value";"Zeeland (PV)";"2022";1015
"Total";"Population 6 years or older";"Total";"Value";"Zeeland (PV)";"2023";974
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2018";1022
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2019";1005
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2020";904
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2021";939
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2022";1005
"Total";"Population 6 years or older";"Total";"Value";"Noord-Brabant (PV)";"2023";1023
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2018";1010
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2019";991
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2020";872
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2021";915
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2022";980
"Total";"Population 6 years or older";"Total";"Value";"Limburg (PV)";"2023";1011
